SourceCountry,DestinationCountry,DefenseVCivilian,EndUseCode,EndUseDescription,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,United States,Defense,50000,MILITARY AIRCRAFT AND PARTS,"128,269,919","200,975,011","211,752,286","96,934,072","84,392,079","106,268,224","110,475,002","153,378,306","204,883,981","293,247,017","386,911,032","307,766,556","366,196,228","281,642,840","166,325,577","304,133,011","259,714,093","301,879,894","395,975,635","397,304,370","404,249,272","406,641,106","419,045,845","512,293,274","445,017,009","571,054,024","513,546,155"
Canada,United States,Defense,50010,OTHER MILITARY EQUIPMENT,"110,970,614","84,525,334","96,482,879","65,859,142","59,702,938","39,032,298","52,442,034","48,184,552","67,956,450","74,914,210","46,893,636","75,533,546","73,854,384","228,198,627","236,423,260","300,058,426","246,061,152","338,377,572","492,235,767","502,867,760","707,937,888","785,188,641","627,171,783","539,836,094","292,478,682","232,816,666","201,323,859"
Canada,United States,Civilian,00000-42110 & 50020-50040 ,NON-MILITARY GOODS," 87,970,741,250.00 "," 91,086,523,886.00 "," 90,831,480,708.00 "," 98,334,392,429.00 "," 110,777,359,358.00 "," 128,802,175,123.00 "," 144,955,789,058.00 "," 156,304,258,088.00 "," 167,777,670,452.00 "," 174,475,601,734.00 "," 197,890,168,855.00 "," 228,825,818,808.00 "," 216,528,764,871.00 "," 210,079,790,389.00 "," 223,763,321,132.00 "," 255,323,754,108.00 "," 287,364,432,120.00 "," 302,775,992,277.00 "," 312,222,667,731.00 "," 334,655,097,293.00 "," 223,798,562,541.00 "," 276,444,903,240.00 "," 314,278,535,663.00 "," 323,210,883,215.00 "," 331,820,307,126.00 "," 346,994,115,402.00 "," 294,475,438,901.00 "
United States,Canada,Defense,"50000-50070
",MILITARY GOODS,413618770,279384781,515829261,361117955,412409160,367804638,320489313,481743972,379632063,344206144,328856455,416310416,385064175,308898914,381973776,454871040,428126257,406937200,745278850,956803051,573896569,875763995,940553920,536555316,588737396,456829744,349685977
United States,Canada,Civilian,00000-42110 & 60000-61040,NON-MILITARY GOODS,77852542743,82687155866,84630467781,89794923370,99778031078,1.13887E+11,1.25704E+11,1.32102E+11,1.49745E+11,1.53808E+11,1.63584E+11,1.76013E+11,1.63339E+11,1.6049E+11,1.69099E+11,1.87258E+11,2.10992E+11,2.2985E+11,2.47692E+11,2.59958E+11,2.04154E+11,2.48381E+11,2.80351E+11,2.92114E+11,3.00166E+11,3.11964E+11,2.79667E+11
World,United States,Defense,50000,MILITARY AIRCRAFT AND PARTS,"765,633,662","839,447,108","1,006,013,623","744,574,816","623,777,059","647,852,046","619,130,868","739,468,504","1,136,024,401","1,262,820,227","1,235,550,055","1,128,594,225","1,177,797,082","1,253,396,691","1,011,216,089","1,212,287,360","1,610,914,439","1,546,459,738","1,875,431,376","2,045,518,258","2,131,147,813","2,368,481,265","2,620,368,467","3,279,467,404","2,948,243,269","3,284,845,370","3,064,518,953"
World,United States,Defense,50010,OTHER MILITARY EQUIPMENT,"336,371,907","322,040,409","341,297,916","322,598,041","346,838,987","333,206,086","297,171,611","303,556,604","363,158,064","393,374,469","366,319,653","465,168,240","444,038,559","669,259,228","715,966,950","874,796,034","960,626,066","1,336,557,379","2,000,618,140","2,277,743,365","2,833,692,602","2,982,648,073","2,385,880,716","2,287,476,619","2,213,626,284","1,842,059,597","1,650,342,515"
World,United States,Civilian,00000-42110 & 50020-50040,NON-MILITARY GOODS,4.72295E+11,4.94867E+11,4.87485E+11,5.30986E+11,5.79498E+11,6.62849E+11,7.42589E+11,7.90272E+11,8.68713E+11,9.12229E+11,1.02316E+12,1.21529E+12,1.14034E+12,1.16163E+12,1.25767E+12,1.46759E+12,1.66837E+12,1.85224E+12,1.94982E+12,2.09582E+12,1.55291E+12,1.90851E+12,2.20295E+12,2.2707E+12,2.26282E+12,2.35124E+12,2.24352E+12
